 Rgeom_[µm]  Q(0.3800nm)  Q(0.4400nm)  Q(0.6750nm)  Q(0.8700nm)  Q(1.0200nm)  

  0.0821     0.9708E-10   0.6290E-10   0.1355E-10   0.5009E-11   0.2662E-11
  0.0863     0.1236E-09   0.8143E-10   0.1823E-10   0.6779E-11   0.3607E-11
  0.0908     0.1573E-09   0.1047E-09   0.2448E-10   0.9169E-11   0.4886E-11
  0.0956     0.2010E-09   0.1338E-09   0.3278E-10   0.1239E-10   0.6617E-11
  0.1005     0.2587E-09   0.1704E-09   0.4375E-10   0.1672E-10   0.8954E-11
  0.1058     0.3361E-09   0.2169E-09   0.5817E-10   0.2254E-10   0.1211E-10
  0.1113     0.4384E-09   0.2772E-09   0.7697E-10   0.3033E-10   0.1637E-10
  0.1171     0.5670E-09   0.3573E-09   0.1013E-09   0.4072E-10   0.2210E-10
  0.1232     0.7166E-09   0.4646E-09   0.1324E-09   0.5453E-10   0.2979E-10
  0.1296     0.8790E-09   0.6058E-09   0.1720E-09   0.7279E-10   0.4010E-10
  0.1364     0.1053E-08   0.7819E-09   0.2217E-09   0.9676E-10   0.5386E-10
  0.1435     0.1252E-08   0.9849E-09   0.2841E-09   0.1280E-09   0.7216E-10
  0.1510     0.1508E-08   0.1204E-08   0.3622E-09   0.1684E-09   0.9635E-10
  0.1588     0.1860E-08   0.1440E-08   0.4608E-09   0.2203E-09   0.1282E-09
  0.1671     0.2318E-08   0.1713E-08   0.5876E-09   0.2860E-09   0.1697E-09
  0.1758     0.2818E-08   0.2068E-08   0.7544E-09   0.3688E-09   0.2235E-09
  0.1850     0.3290E-08   0.2558E-08   0.9775E-09   0.4725E-09   0.2924E-09
  0.1946     0.3779E-08   0.3184E-08   0.1275E-08   0.6023E-09   0.3801E-09
  0.2048     0.4433E-08   0.3853E-08   0.1656E-08   0.7664E-09   0.4905E-09
  0.2155     0.5356E-08   0.4483E-08   0.2110E-08   0.9773E-09   0.6289E-09
  0.2267     0.6275E-08   0.5151E-08   0.2612E-08   0.1255E-08   0.8022E-09
  0.2385     0.6980E-08   0.6068E-08   0.3147E-08   0.1626E-08   0.1021E-08
  0.2499     0.7731E-08   0.7231E-08   0.3694E-08   0.2078E-08   0.1277E-08
  0.2609     0.8818E-08   0.8287E-08   0.4293E-08   0.2596E-08   0.1574E-08
  0.2724     0.9913E-08   0.9114E-08   0.5062E-08   0.3207E-08   0.1953E-08
  0.2844     0.1046E-07   0.9934E-08   0.6071E-08   0.3887E-08   0.2439E-08
  0.2968     0.1100E-07   0.1116E-07   0.7313E-08   0.4611E-08   0.3055E-08
  0.3099     0.1226E-07   0.1277E-07   0.8650E-08   0.5376E-08   0.3807E-08
  0.3235     0.1316E-07   0.1378E-07   0.9931E-08   0.6223E-08   0.4680E-08
  0.3377     0.1300E-07   0.1438E-07   0.1118E-07   0.7240E-08   0.5636E-08
  0.3525     0.1358E-07   0.1562E-07   0.1262E-07   0.8552E-08   0.6646E-08
  0.3680     0.1477E-07   0.1742E-07   0.1459E-07   0.1027E-07   0.7723E-08
  0.3842     0.1375E-07   0.1754E-07   0.1714E-07   0.1236E-07   0.8942E-08
