

------------------------------------------------------------------------
 DATE:  FEB 26,  131
   0, 26/02/13 14:31:47, 14:31:47, -39.421000,  -71.941000, 2830                 
 Background Villarrica-13                                                        
------------------------------------------------------------------------

========================================
  NU star= 0.64  Rmin=0.08 Rmax=4.00
========================================

  IT     G(Rel)        Gamma       Itest   Icnt  Neg  IN      Q1 (Q1est)      Eps Sq
----------------------------------------------------------------------------------------
  1     0.00E+00     0.00E+00     0 ( 0)     0    3    0    3.77E+02 ( 5)    5.25E-03
  1     1.00E-03     1.97E-16     0 ( 0)     0    4    5    1.85E-05 ( 5)    2.45E-10
  1     2.00E-03     3.95E-16     0 ( 0)     0    4    5    7.36E-05 ( 5)    9.77E-10
  1     4.00E-03     7.89E-16     0 ( 0)     0    5    5    2.92E-04 ( 5)    3.88E-09
  1     8.00E-03     1.58E-15     0 ( 0)     0    5    5    1.15E-03 ( 5)    1.53E-08
  1     1.60E-02     3.16E-15     0 ( 0)     0    5    5    4.45E-03 ( 5)    5.91E-08
  1     3.20E-02     6.31E-15     0 ( 0)     0    5    5    1.67E-02 ( 5)    2.23E-07
  1     6.40E-02     1.26E-14     0 ( 0)     0    5    5    5.95E-02 ( 5)    7.94E-07
  1     1.28E-01     2.53E-14     0 ( 0)     0    5    5    1.92E-01 ( 5)    2.59E-06
  1     2.56E-01     5.05E-14     0 ( 0)     0    5    5    5.39E-01 ( 5)    7.36E-06
  1     5.12E-01     1.01E-13     0 ( 0)     0    5    5    1.27E+00 ( 5)    1.80E-05
  1     1.02E+00     2.02E-13     0 ( 0)     0    5    4    2.62E+00 ( 5)    3.96E-05
  1     2.05E+00     4.04E-13     0 ( 0)     0    4    2    5.02E+00 ( 5)    8.34E-05
  1     4.10E+00     8.08E-13     0 ( 0)     0    3    0    9.18E+00 ( 5)    1.67E-04
----------------------------------------------------------------------------------------
  1     0.00E+00     0.00E+00     0 ( 0)     1    2    1    1.30E+02 ( 5)    2.68E-03
  1     1.00E-03     1.05E-07     0 ( 0)     1    7    5    1.78E-08 ( 5)    2.60E-13
  1     2.00E-03     2.10E-07     0 ( 0)     1    7    5    7.10E-08 ( 5)    1.04E-12
  1     4.00E-03     4.20E-07     0 ( 0)     1    7    5    2.84E-07 ( 5)    4.19E-12
  1     8.00E-03     8.41E-07     0 ( 0)     1    7    5    1.14E-06 ( 5)    1.67E-11
  1     1.60E-02     1.68E-06     0 ( 0)     1    7    5    4.54E-06 ( 5)    6.69E-11
  1     3.20E-02     3.36E-06     0 ( 0)     1    7    5    1.81E-05 ( 5)    2.67E-10
  1     6.40E-02     6.73E-06     0 ( 0)     1    7    5    7.23E-05 ( 5)    1.07E-09
  1     1.28E-01     1.35E-05     0 ( 0)     1    7    5    2.87E-04 ( 5)    4.24E-09
  1     2.56E-01     2.69E-05     0 ( 0)     1    7    5    1.14E-03 ( 5)    1.68E-08
  1     5.12E-01     5.38E-05     0 ( 0)     1    7    5    4.44E-03 ( 5)    6.55E-08
  1     1.02E+00     1.08E-04     0 ( 0)     1    7    5    1.70E-02 ( 5)    2.50E-07
  1     2.05E+00     2.15E-04     0 ( 0)     1    7    5    6.21E-02 ( 5)    9.15E-07
  1     4.10E+00     4.30E-04     0 ( 0)     1    7    5    2.10E-01 ( 5)    3.10E-06

========================================
  NU star= 1.14  Rmin=0.08 Rmax=4.00
========================================

  IT     G(Rel)        Gamma       Itest   Icnt  Neg  IN      Q1 (Q1est)      Eps Sq
----------------------------------------------------------------------------------------
  1     0.00E+00     0.00E+00     0 ( 0)     0    3    1    5.64E+04 ( 5)    3.73E-01
