SN,No,DATE,TIME,LATITUDE,LONGITUDE,ALTITUDE,PRESSURE,SZA,AM,SDCORR,TEMP,ID,SIG380,SIG440,SIG675,SIG870,SIG1020,STD380,STD440,STD675,STD870,STD1020,0.38,0.44,0.675,0.87,1.02,WATER,,-0.967584026,-0.820980552,-0.393042588,-0.139262067,0.019802627,slope,intercept,alpha,beta
31487,1,3/25/13,20:04:09,10.017,-83.766,3308,723,36.45,1.242,0.996,19.5,99,94.97,140.78,513.46,442.03,725.84,0.344,0.231,0.095,0.091,0.111,2.16,1.477,0.597,0.367,0.369,Na  ,,0.770108222,0.390013004,-0.515838166,-1.002393431,-0.996958635,-1.883295387,-1.137731426,1.883295387,0.320545378
31487,2,3/25/13,20:04:24,10.017,-83.766,3308,723,36.51,1.243,0.996,19.5,99,214.79,237.28,634.4,498.14,812.31,0.242,0.156,0.046,0.019,0.011,1.501,1.056,0.426,0.271,0.278,Na  ,,0.406131553,0.054488185,-0.853315933,-1.305636458,-1.280134165,-1.814662992,-1.430825446,1.814662992,0.239111467
31487,3,3/25/13,20:04:38,10.017,-83.766,3308,723,36.57,1.244,0.996,19.6,99,914.9,618.7,845.95,566.37,879.84,0.087,0.059,0.021,0.016,0.014,0.335,0.285,0.195,0.167,0.214,Na  ,,-1.093624747,-1.255266099,-1.63475572,-1.789761467,-1.541779264,-0.574186002,-1.727285506,0.574186002,0.177766301
31487,4,3/25/13,20:04:53,10.017,-83.766,3308,723,36.63,1.245,0.996,19.6,99,924.57,574.71,736.31,468.17,731.04,0.013,0.008,0.004,0.004,0.003,0.326,0.344,0.306,0.32,0.363,Na  ,,-1.120857898,-1.067113622,-1.184170177,-1.139434283,-1.013352445,0.030323719,-1.091030305,-0.030323719,0.335870266
31487,5,3/25/13,20:05:09,10.017,-83.766,3308,723,36.7,1.246,0.996,19.6,99,921.66,579.88,737.97,475.04,744.4,0.049,0.033,0.011,0.009,0.007,0.328,0.336,0.304,0.308,0.348,Na  ,,-1.114741671,-1.090644119,-1.190727578,-1.177655496,-1.055552799,-0.007688753,-1.129402799,0.007688753,0.32322623
31487,6,3/25/13,20:05:38,10.017,-83.766,3308,723,36.81,1.248,0.996,19.6,99,1126.85,716.29,922.11,603.87,928.27,0.004,0.003,0.002,0.003,0.004,0.166,0.166,0.125,0.116,0.17,Na  ,,-1.795767491,-1.795767491,-2.079441542,-2.154165088,-1.771956842,-0.169056834,-1.997221898,0.169056834,0.135711781
31487,7,3/25/13,20:05:52,10.017,-83.766,3308,723,36.87,1.249,0.996,19.6,99,1044.19,682.58,905.29,600.44,926.57,0.03,0.021,0.008,0.009,0.006,0.227,0.204,0.14,0.12,0.172,Na  ,,-1.482805262,-1.589635285,-1.966112856,-2.120263536,-1.760260802,-0.457191778,-1.994221295,0.457191778,0.13611961
31487,8,3/25/13,20:06:09,10.017,-83.766,3308,723,36.94,1.25,0.996,19.6,99,617.87,475.16,783.99,552.52,869.29,0.042,0.028,0.011,0.006,0.005,0.646,0.494,0.254,0.186,0.223,Na  ,,-0.436955775,-0.705219762,-1.370421012,-1.682008605,-1.500583508,-1.207528842,-1.694758591,1.207528842,0.183643557
31487,9,3/25/13,20:06:23,10.017,-83.766,3308,723,37,1.251,0.996,19.6,99,503.59,412.86,745.37,536.43,850.91,0.082,0.056,0.02,0.011,0.009,0.809,0.606,0.295,0.21,0.24,Na  ,,-0.211956362,-0.500875293,-1.220779923,-1.560647748,-1.427116356,-1.350339232,-1.605719239,1.350339232,0.200745119
31487,10,3/25/13,20:06:38,10.017,-83.766,3308,723,37.06,1.252,0.996,19.7,99,326.08,316.38,694.54,523.39,842,0.022,0.017,0.007,0.005,0.005,1.155,0.818,0.351,0.229,0.248,Na  ,,0.144100344,-0.200892942,-1.046969056,-1.474033275,-1.394326533,-1.672404102,-1.564086939,1.672404102,0.209279011
31487,11,3/25/13,20:06:53,10.017,-83.766,3308,723,37.12,1.253,0.996,19.7,99,858.9,606.12,849.84,583.27,906.43,0.085,0.058,0.021,0.014,0.01,0.381,0.298,0.189,0.143,0.189,Na  ,,-0.964955904,-1.210661792,-1.666008264,-1.944910649,-1.666008264,-0.840067573,-1.877119263,0.840067573,0.153030312
31487,12,3/25/13,20:07:09,10.017,-83.766,3308,723,37.18,1.254,0.996,19.7,99,1069.1,705.37,887.5,599.96,927.46,0.006,0.004,0.004,0.004,0.005,0.206,0.177,0.155,0.12,0.17,Na  ,,-1.57987911,-1.731605546,-1.864330162,-2.120263536,-1.771956842,-0.317024883,-1.959506114,0.317024883,0.140928006
31487,13,3/25/13,20:07:24,10.017,-83.766,3308,723,37.24,1.255,0.996,19.7,99,1020.27,687.81,860.9,590.58,914.94,0.004,0.003,0.004,0.003,0.002,0.243,0.197,0.179,0.133,0.181,Na  ,,-1.414693836,-1.62455155,-1.720369473,-2.017406151,-1.709258248,-0.385463536,-1.874651306,0.385463536,0.15340845
31487,14,3/25/13,20:07:38,10.017,-83.766,3308,723,37.3,1.256,0.996,19.7,99,998.04,680.51,840.33,580.24,900.75,0.008,0.007,0.006,0.007,0.004,0.26,0.205,0.198,0.147,0.193,Na  ,,-1.347073648,-1.5847453,-1.619488248,-1.917322692,-1.64506509,-0.356459828,-1.786786557,0.356459828,0.16749755
31487,15,3/25/13,20:07:53,10.017,-83.766,3308,723,37.36,1.257,0.996,19.7,99,972.94,679.83,820.02,578.64,896.3,0.004,0.004,0.004,0.003,0.004,0.28,0.205,0.217,0.149,0.197,Na  ,,-1.272965676,-1.5847453,-1.527857925,-1.903808973,-1.62455155,-0.380251573,-1.757782724,0.380251573,0.172426758
31487,16,3/25/13,20:08:08,10.017,-83.766,3308,723,37.42,1.258,0.996,19.7,99,1018.05,688.79,864.69,574.63,863.53,0.065,0.02,0.047,0.051,0.117,0.243,0.195,0.175,0.154,0.226,Na  ,,-1.414693836,-1.63475572,-1.742969305,-1.870802677,-1.48722028,-0.170722796,-1.708657269,0.170722796,0.18110881
31487,17,3/25/13,20:08:23,10.017,-83.766,3308,723,37.48,1.259,0.996,19.7,99,1080.72,702.46,901.23,602.77,933.26,0.003,0.003,0.003,0.002,0.004,0.195,0.179,0.142,0.116,0.165,Na  ,,-1.63475572,-1.720369473,-1.951928221,-2.154165088,-1.801809805,-0.327094273,-2.003138803,0.327094273,0.134911158
31487,18,3/25/13,20:08:37,10.017,-83.766,3308,723,37.54,1.26,0.996,19.8,99,1087.7,705.29,900.06,603.49,932.31,0.002,0.002,0.001,0.002,0.002,0.19,0.175,0.143,0.115,0.165,Na  ,,-1.660731207,-1.742969305,-1.944910649,-2.162823151,-1.801809805,-0.300871465,-2.001113879,0.300871465,0.13518462
31487,19,3/25/13,20:08:52,10.017,-83.766,3308,723,37.6,1.261,0.996,19.8,99,1061.19,697.07,888.28,599,927.45,0.002,0.002,0.001,0.002,0.002,0.209,0.184,0.153,0.121,0.169,Na  ,,-1.565421027,-1.692819521,-1.877317358,-2.111964733,-1.777856564,-0.347856975,-1.965164255,0.347856975,0.140132867
31487,20,3/25/13,20:09:09,10.017,-83.766,3308,723,37.67,1.262,0.996,19.8,99,1079.59,713.25,891.01,604.63,935.42,0.002,0.004,0.002,0.001,0.002,0.195,0.166,0.15,0.113,0.162,Na  ,,-1.63475572,-1.795767491,-1.897119985,-2.18036746,-1.820158944,-0.308259265,-2.00749894,0.308259265,0.134324208
31487,21,3/25/13,20:09:23,10.017,-83.766,3308,723,37.72,1.263,0.996,19.8,99,1072.35,716.87,884.2,604.87,935.18,0.003,0.005,0.003,0.003,0.003,0.2,0.161,0.156,0.113,0.162,Na  ,,-1.609437912,-1.826350914,-1.857899272,-2.18036746,-1.820158944,-0.307125633,-2.000186208,0.307125633,0.135310085
31487,22,3/25/13,20:09:38,10.017,-83.766,3308,723,37.78,1.264,0.996,19.8,99,1033.06,702.77,863.65,596.94,923.78,0.004,0.004,0.003,0.003,0.005,0.229,0.177,0.175,0.123,0.172,Na  ,,-1.474033275,-1.731605546,-1.742969305,-2.095570924,-1.760260802,-0.361147706,-1.927092956,0.361147706,0.145570765
31487,23,3/25/13,20:09:52,10.017,-83.766,3308,723,37.84,1.265,0.996,19.8,99,997.65,688.68,841.37,586.31,908.25,0.006,0.004,0.005,0.003,0.005,0.256,0.193,0.195,0.137,0.185,Na  ,,-1.362577835,-1.64506509,-1.63475572,-1.987774353,-1.687399454,-0.376211967,-1.836652249,0.376211967,0.159349998
31487,24,3/25/13,20:10:09,10.017,-83.766,3308,723,37.91,1.266,0.996,19.8,99,1069.48,682.05,877.16,572.35,883.01,0.02,0.004,0.007,0.009,0.012,0.2,0.2,0.162,0.156,0.207,Na  ,,-1.609437912,-1.609437912,-1.820158944,-1.857899272,-1.575036486,-0.106662223,-1.743481481,0.106662223,0.174910392
31487,25,3/25/13,20:10:23,10.017,-83.766,3308,723,37.97,1.267,0.996,19.9,99,1029.95,665.81,874.86,574.74,891.2,0.008,0.006,0.003,0.002,0.003,0.23,0.219,0.164,0.153,0.2,Na  ,,-1.46967597,-1.518683549,-1.807888851,-1.877317358,-1.609437912,-0.279744275,-1.78534277,0.279744275,0.167739555
31487,26,3/25/13,20:10:38,10.017,-83.766,3308,723,38.03,1.268,0.996,19.9,99,560.75,452.54,784.69,551.65,872.19,0.046,0.029,0.006,0.004,0.005,0.709,0.523,0.25,0.185,0.217,Na  ,,-0.343899752,-0.648173815,-1.386294361,-1.687399454,-1.527857925,-1.322871451,-1.727528126,1.322871451,0.177723177
31487,27,3/25/13,20:10:53,10.017,-83.766,3308,723,38.09,1.269,0.996,19.9,99,601.51,476.03,798.9,561.9,886.46,0.026,0.019,0.007,0.005,0.005,0.653,0.482,0.235,0.17,0.204,Na  ,,-0.42617815,-0.729811165,-1.448169765,-1.771956842,-1.589635285,-1.308745491,-1.795452351,1.308745491,0.166052321
31487,28,3/25/13,20:11:09,10.017,-83.766,3308,723,38.15,1.271,0.996,19.9,99,623.31,484.69,794.52,561.86,887.88,0.102,0.059,0.016,0.008,0.005,0.624,0.467,0.239,0.17,0.202,Na  ,,-0.471604911,-0.761426021,-1.431291727,-1.771956842,-1.599487582,-1.266212581,-1.789881314,1.266212581,0.166979987
31487,29,3/25/13,20:11:24,10.017,-83.766,3308,723,38.21,1.272,0.996,19.9,99,202.95,234.57,631.92,503.9,829.62,0.045,0.028,0.008,0.005,0.007,1.505,1.038,0.419,0.256,0.256,Na  ,,0.408792898,0.037295785,-0.869884359,-1.362577835,-1.362577835,-1.889245093,-1.499246028,1.889245093,0.223298457
31487,30,3/25/13,20:11:38,10.017,-83.766,3308,723,38.27,1.273,0.996,19.9,99,128.77,175.28,572.41,479.19,797.26,0.117,0.078,0.025,0.013,0.009,1.861,1.266,0.497,0.295,0.287,Na  ,,0.621113978,0.235862324,-0.699165253,-1.220779923,-1.248273063,-1.982304702,-1.374531418,1.982304702,0.2529581
31487,31,3/25/13,20:11:53,10.017,-83.766,3308,723,38.33,1.274,0.996,20,99,102.41,152.63,549.41,470.7,788,0.038,0.024,0.005,0.005,0.005,2.039,1.373,0.528,0.309,0.296,Na  ,,0.712459492,0.316998127,-0.638658995,-1.174414002,-1.217395825,-2.039988089,-1.339031935,2.039988089,0.262099275
31487,32,3/25/13,20:12:09,10.017,-83.766,3308,723,38.4,1.275,0.996,20,99,138.51,185.97,568.68,475.63,788.98,0.018,0.009,0.007,0.006,0.007,1.8,1.217,0.501,0.3,0.294,Na  ,,0.587786665,0.196388814,-0.691149178,-1.203972804,-1.224175512,-1.915248922,-1.34844747,1.915248922,0.259643051
31487,33,3/25/13,20:12:24,10.017,-83.766,3308,723,38.46,1.276,0.996,20,99,225.48,245.17,626.53,488.12,799.29,0.016,0.011,0.005,0.003,0.003,1.417,0.999,0.424,0.28,0.284,Na  ,,0.348541961,-0.0010005,-0.858021824,-1.272965676,-1.258781041,-1.718652232,-1.399392068,1.718652232,0.246746924
31487,34,3/25/13,20:12:39,10.017,-83.766,3308,723,38.52,1.277,0.996,20,99,185.78,223.46,634.8,509.26,837.51,0.14,0.092,0.027,0.014,0.01,1.567,1.071,0.414,0.246,0.247,Na  ,,0.449162963,0.068592791,-0.881889305,-1.402423743,-1.398366942,-1.975456742,-1.542116356,1.975456742,0.213927875
31487,35,3/25/13,20:12:53,10.017,-83.766,3308,723,38.57,1.278,0.996,20,99,233.82,263.15,661.82,519.95,847.71,0.033,0.022,0.008,0.003,0.004,1.385,0.942,0.381,0.23,0.237,Na  ,,0.32570014,-0.059750004,-0.964955904,-1.46967597,-1.439695138,-1.890081836,-1.591516215,1.890081836,0.203616651
