SN,No,DATE,TIME,LATITUDE,LONGITUDE,ALTITUDE,PRESSURE,SZA,AM,SDCORR,TEMP,SIG380,SIG440,SIG675,SIG870,SIG1020,STD380,STD440,STD675,STD870,STD1020,AOT380,AOT440,AOT675,AOT870,AOT1020,WATER
31487,1,26/02/13,14:30:49,-39.421,-71.941,2830.00,550.00,63.72,2.23,0.990,9.40,1105.88,746.26,964.81,632.54,939.70,0.05,0.01,0.01,0.03,0.03,0.0404,0.0427,0.0461,0.0443,0.0913,Na  
31487,2,26/02/13,14:31:02,-39.421,-71.941,2830.00,550.00,63.72,2.23,0.990,9.50,1105.11,744.38,951.56,627.51,927.34,0.04,0.01,0.02,0.03,0.03,0.0408,0.0438,0.0523,0.0479,0.0972,Na  
31487,3,26/02/13,14:31:14,-39.421,-71.941,2830.00,550.00,63.73,2.23,0.990,9.60,1133.79,751.68,978.53,642.08,954.11,0.01,0.00,0.00,0.01,0.01,0.0293,0.0394,0.0398,0.0376,0.0845,Na  
31487,4,26/02/13,14:31:25,-39.421,-71.941,2830.00,550.00,63.73,2.23,0.990,9.60,1128.79,753.65,978.36,645.70,959.03,0.01,0.00,0.01,0.01,0.01,0.0313,0.0383,0.0399,0.0351,0.0822,Na  
31487,5,26/02/13,14:31:36,-39.421,-71.941,2830.00,550.00,63.73,2.23,0.990,9.70,1117.85,751.86,968.67,643.22,953.30,0.02,0.00,0.01,0.01,0.01,0.0356,0.0393,0.0443,0.0368,0.0848,Na  
31487,6,26/02/13,14:31:47,-39.421,-71.941,2830.00,550.00,63.73,2.23,0.990,9.70,1124.13,750.91,972.34,636.29,938.32,0.03,0.01,0.01,0.02,0.02,0.0331,0.0399,0.0427,0.0416,0.0920,Na  
31487,7,26/02/13,14:31:59,-39.421,-71.941,2830.00,550.00,63.74,2.23,0.990,9.80,1128.73,753.30,979.55,645.51,959.63,0.01,0.00,0.01,0.01,0.01,0.0313,0.0385,0.0393,0.0352,0.0819,Na  
31487,8,26/02/13,14:32:12,-39.421,-71.941,2830.00,550.00,63.74,2.23,0.990,9.90,1135.25,753.49,981.20,644.74,957.08,0.01,0.00,0.00,0.01,0.01,0.0288,0.0384,0.0386,0.0357,0.0831,Na  
31487,9,26/02/13,14:32:23,-39.421,-71.941,2830.00,550.00,63.74,2.23,0.990,9.90,1132.26,754.84,977.01,644.52,953.81,0.01,0.00,0.01,0.01,0.01,0.0300,0.0376,0.0405,0.0359,0.0846,Na  
31487,10,26/02/13,14:32:33,-39.421,-71.941,2830.00,550.00,63.75,2.23,0.990,9.90,1123.44,750.74,971.95,641.58,953.27,0.02,0.01,0.01,0.01,0.01,0.0335,0.0401,0.0428,0.0379,0.0849,Na  
31487,11,26/02/13,14:32:45,-39.421,-71.941,2830.00,550.00,63.75,2.23,0.990,10.00,1119.24,749.45,971.56,639.02,944.97,0.02,0.01,0.02,0.02,0.02,0.0352,0.0408,0.0430,0.0397,0.0888,Na  
31487,12,26/02/13,14:32:56,-39.421,-71.941,2830.00,550.00,63.75,2.23,0.990,10.00,1131.39,753.40,978.80,644.05,957.30,0.01,0.00,0.01,0.01,0.01,0.0303,0.0385,0.0397,0.0362,0.0830,Na  
31487,13,26/02/13,14:33:10,-39.421,-71.941,2830.00,550.00,63.76,2.23,0.990,10.00,1128.25,752.39,977.24,641.73,951.22,0.01,0.00,0.01,0.01,0.01,0.0316,0.0391,0.0404,0.0378,0.0859,Na  
31487,14,26/02/13,14:33:21,-39.421,-71.941,2830.00,550.00,63.76,2.23,0.990,10.00,1128.25,753.37,980.33,646.40,959.91,0.01,0.01,0.01,0.01,0.01,0.0316,0.0385,0.0390,0.0346,0.0818,Na  
31487,15,26/02/13,14:33:32,-39.421,-71.941,2830.00,550.00,63.76,2.23,0.990,10.10,1120.98,750.02,965.07,639.44,946.98,0.02,0.01,0.02,0.01,0.02,0.0345,0.0405,0.0460,0.0394,0.0879,Na  
31487,16,26/02/13,14:33:43,-39.421,-71.941,2830.00,550.00,63.77,2.23,0.990,10.10,1131.71,754.62,968.46,640.27,949.52,0.01,0.00,0.01,0.01,0.01,0.0303,0.0378,0.0445,0.0389,0.0867,Na  
31487,17,26/02/13,14:33:54,-39.421,-71.941,2830.00,550.00,63.77,2.23,0.990,10.10,1102.99,743.22,947.40,626.64,928.64,0.05,0.02,0.03,0.03,0.04,0.0418,0.0446,0.0543,0.0485,0.0967,Na  
31487,18,26/02/13,14:34:07,-39.421,-71.941,2830.00,550.00,63.77,2.23,0.990,10.10,1119.44,745.23,960.42,636.17,946.06,0.02,0.01,0.02,0.01,0.02,0.0352,0.0434,0.0482,0.0418,0.0883,Na  
31487,19,26/02/13,14:34:19,-39.421,-71.941,2830.00,550.00,63.77,2.23,0.990,10.10,1124.52,748.98,969.28,637.27,946.72,0.02,0.01,0.01,0.01,0.01,0.0331,0.0412,0.0441,0.0410,0.0880,Na  
31487,20,26/02/13,14:34:30,-39.421,-71.941,2830.00,550.00,63.78,2.23,0.990,10.10,1124.26,750.11,970.91,637.76,949.93,0.01,0.01,0.02,0.02,0.02,0.0333,0.0405,0.0433,0.0406,0.0865,Na  
31487,21,26/02/13,15:25:10,-39.421,-71.941,2830.00,550.00,65.07,2.24,0.990,10.40,1147.90,760.97,980.42,650.48,974.08,0.01,0.01,0.00,0.00,0.00,0.0222,0.0330,0.0386,0.0315,0.0747,Na  
31487,22,26/02/13,15:25:24,-39.421,-71.941,2830.00,550.00,65.08,2.24,0.990,10.50,1140.77,758.37,980.75,646.48,971.62,0.00,0.00,0.00,0.00,0.00,0.0249,0.0345,0.0384,0.0343,0.0758,Na  
31487,23,26/02/13,15:25:39,-39.421,-71.941,2830.00,550.00,65.09,2.24,0.990,10.60,1157.02,762.69,981.11,643.42,968.79,0.00,0.00,0.00,0.00,0.00,0.0186,0.0319,0.0382,0.0364,0.0771,Na  
31487,24,26/02/13,15:25:54,-39.421,-71.941,2830.00,550.00,65.09,2.24,0.990,10.60,1168.64,767.57,981.20,640.99,964.10,0.00,0.00,0.00,0.00,0.00,0.0141,0.0291,0.0382,0.0380,0.0793,Na  
31487,25,26/02/13,15:26:10,-39.421,-71.941,2830.00,550.00,65.10,2.24,0.990,10.70,1167.67,764.95,975.24,635.53,956.40,0.00,0.00,0.00,0.00,0.00,0.0145,0.0306,0.0409,0.0419,0.0828,Na  
31487,26,26/02/13,15:26:25,-39.421,-71.941,2830.00,550.00,65.11,2.25,0.990,10.70,1117.12,738.55,959.15,622.22,937.02,0.01,0.01,0.00,0.00,0.00,0.0341,0.0462,0.0483,0.0513,0.0919,Na  
31487,27,26/02/13,15:26:39,-39.421,-71.941,2830.00,550.00,65.12,2.25,0.990,10.70,1014.83,635.81,829.78,509.18,766.62,0.07,0.10,0.08,0.11,0.11,0.0769,0.1129,0.1128,0.1406,0.1813,Na  
31487,28,26/02/13,15:26:54,-39.421,-71.941,2830.00,550.00,65.13,2.25,0.990,10.80,201.50,83.24,169.90,87.65,123.12,0.02,0.01,0.01,0.01,0.01,0.7968,1.0182,0.8190,0.9240,0.9957,Na  
31487,29,26/02/13,15:27:09,-39.421,-71.941,2830.00,550.00,65.14,2.25,0.990,10.80,133.98,54.79,126.56,62.61,86.26,0.05,0.05,0.03,0.03,0.04,0.9784,1.2043,0.9501,1.0737,1.1540,Na  
31487,30,26/02/13,15:27:24,-39.421,-71.941,2830.00,550.00,65.15,2.25,0.990,10.80,547.42,398.89,483.06,355.13,510.56,0.81,0.71,0.69,0.61,0.73,0.3516,0.3204,0.3536,0.3009,0.3622,Na  
31487,31,26/02/13,15:27:39,-39.421,-71.941,2830.00,550.00,65.16,2.25,0.990,10.90,737.63,471.14,591.20,380.79,503.13,0.20,0.27,0.26,0.33,0.38,0.2187,0.2462,0.2637,0.2698,0.3687,Na  
31487,32,26/02/13,15:27:53,-39.421,-71.941,2830.00,550.00,65.16,2.25,0.990,10.90,1158.61,744.40,938.67,607.59,905.33,0.02,0.01,0.02,0.02,0.02,0.0177,0.0426,0.0579,0.0618,0.1072,Na  
31487,33,26/02/13,15:28:10,-39.421,-71.941,2830.00,550.00,65.17,2.25,0.990,10.90,1172.49,746.69,939.56,603.31,899.31,0.00,0.00,0.00,0.00,0.00,0.0124,0.0412,0.0574,0.0650,0.1101,Na  
31487,34,26/02/13,15:28:24,-39.421,-71.941,2830.00,550.00,65.18,2.25,0.990,10.90,1060.52,702.58,935.14,599.66,896.33,0.01,0.00,0.00,0.00,0.00,0.0570,0.0682,0.0595,0.0676,0.1116,Na  
31487,35,26/02/13,15:28:39,-39.421,-71.941,2830.00,550.00,65.19,2.25,0.990,10.90,1093.01,715.60,944.04,601.40,900.19,0.01,0.01,0.00,0.01,0.01,0.0435,0.0600,0.0553,0.0663,0.1097,Na  
31487,36,26/02/13,15:28:53,-39.421,-71.941,2830.00,550.00,65.20,2.25,0.990,10.90,1.06,3.05,16.98,1.81,1.22,0.17,2.86,3.06,2.22,0.22,3.1302,2.4881,1.8428,2.6493,3.0475,Na  
31487,37,26/02/13,15:29:10,-39.421,-71.941,2830.00,550.00,65.21,2.25,0.990,10.90,21.13,40.03,91.46,50.72,47.50,2.60,2.22,1.82,2.12,2.08,1.7987,1.3426,1.0936,1.1663,1.4182,Na  
31487,38,26/02/13,15:29:24,-39.421,-71.941,2830.00,550.00,65.22,2.25,0.990,10.90,1000.51,670.18,874.92,566.91,826.89,0.18,0.08,0.06,0.09,0.06,0.0828,0.0891,0.0891,0.0926,0.1474,Na  
31487,39,26/02/13,15:29:39,-39.421,-71.941,2830.00,550.00,65.23,2.25,0.990,10.90,1135.67,657.52,828.50,493.74,743.33,0.00,0.00,0.00,0.00,0.00,0.0264,0.0976,0.1133,0.1540,0.1948,Na  
31487,40,26/02/13,15:29:54,-39.421,-71.941,2830.00,550.00,65.23,2.25,0.990,10.90,1115.83,631.34,801.44,472.37,713.12,0.00,0.00,0.00,0.00,0.00,0.0342,0.1156,0.1281,0.1737,0.2132,Na  
31487,41,26/02/13,15:30:10,-39.421,-71.941,2830.00,550.00,65.24,2.25,0.990,10.90,1000.66,575.32,766.44,452.08,685.25,0.02,0.01,0.00,0.00,0.00,0.0826,0.1569,0.1479,0.1932,0.2309,Na  
31487,42,26/02/13,15:30:25,-39.421,-71.941,2830.00,550.00,65.25,2.25,0.990,10.90,1045.47,570.79,743.65,433.28,654.08,0.01,0.00,0.00,0.00,0.00,0.0631,0.1604,0.1613,0.2120,0.2515,Na  
31487,43,26/02/13,15:30:39,-39.421,-71.941,2830.00,550.00,65.26,2.25,0.990,10.90,1040.42,556.79,724.42,418.81,631.31,0.00,0.00,0.00,0.00,0.00,0.0652,0.1714,0.1729,0.2271,0.2673,Na  
31487,44,26/02/13,15:30:54,-39.421,-71.941,2830.00,550.00,65.27,2.25,0.990,10.90,955.30,514.50,690.39,397.67,597.51,0.01,0.01,0.00,0.00,0.00,0.1031,0.2064,0.1943,0.2501,0.2917,Na  
31487,45,26/02/13,15:31:10,-39.421,-71.941,2830.00,550.00,65.28,2.25,0.990,10.90,927.27,490.52,659.68,376.02,562.90,0.01,0.01,0.01,0.01,0.01,0.1162,0.2276,0.2144,0.2749,0.3181,Na  
31487,46,26/02/13,15:31:25,-39.421,-71.941,2830.00,550.00,65.29,2.25,0.990,10.90,845.05,447.12,616.79,347.96,517.38,0.02,0.01,0.00,0.01,0.01,0.1574,0.2687,0.2443,0.3093,0.3556,Na  
31487,47,26/02/13,15:31:40,-39.421,-71.941,2830.00,550.00,65.30,2.25,0.990,10.90,869.94,444.28,598.03,332.38,491.47,0.00,0.00,0.00,0.01,0.01,0.1445,0.2715,0.2580,0.3296,0.3783,Na  
31487,48,26/02/13,15:31:54,-39.421,-71.941,2830.00,550.00,65.31,2.25,0.990,10.90,812.64,410.91,560.02,307.09,452.40,0.01,0.01,0.01,0.01,0.01,0.1747,0.3061,0.2871,0.3648,0.4151,Na  
31487,49,26/02/13,15:32:10,-39.421,-71.941,2830.00,550.00,65.32,2.25,0.990,10.90,756.30,378.01,521.81,282.60,415.26,0.01,0.01,0.01,0.01,0.01,0.2066,0.3431,0.3184,0.4016,0.4531,Na  
31487,50,26/02/13,15:32:24,-39.421,-71.941,2830.00,550.00,65.32,2.25,0.990,10.90,696.69,343.55,482.54,257.96,379.06,0.00,0.01,0.01,0.01,0.01,0.2430,0.3855,0.3531,0.4421,0.4935,Na  
31487,51,26/02/13,15:32:39,-39.421,-71.941,2830.00,550.00,65.33,2.25,0.990,10.90,629.85,306.13,440.50,232.42,341.85,0.00,0.01,0.01,0.01,0.01,0.2877,0.4366,0.3936,0.4883,0.5393,Na  
31487,52,26/02/13,15:32:53,-39.421,-71.941,2830.00,550.00,65.34,2.25,0.990,10.90,560.00,267.70,398.04,206.89,305.94,0.02,0.01,0.01,0.01,0.01,0.3398,0.4961,0.4385,0.5399,0.5885,Na  
31487,53,26/02/13,15:33:10,-39.421,-71.941,2830.00,550.00,65.35,2.25,0.990,10.90,480.18,219.80,342.01,173.64,258.02,0.01,0.01,0.01,0.01,0.01,0.4079,0.5835,0.5058,0.6176,0.6640,Na  
31487,54,26/02/13,15:33:25,-39.421,-71.941,2830.00,550.00,65.36,2.25,0.990,10.90,431.68,190.30,309.79,156.97,237.98,0.05,0.05,0.07,0.13,0.17,0.4551,0.6474,0.5496,0.6623,0.6998,Na  
31487,55,26/02/13,15:33:39,-39.421,-71.941,2830.00,550.00,65.37,2.25,0.990,10.90,907.58,570.86,768.87,471.60,716.21,0.01,0.01,0.01,0.01,0.01,0.1253,0.1598,0.1462,0.1740,0.2108,Na  
31487,56,26/02/13,15:33:54,-39.421,-71.941,2830.00,550.00,65.38,2.25,0.990,10.90,854.76,529.64,724.42,440.36,671.74,0.02,0.01,0.01,0.01,0.01,0.1518,0.1930,0.1725,0.2044,0.2392,Na  
31487,57,26/02/13,15:34:10,-39.421,-71.941,2830.00,550.00,65.39,2.25,0.990,10.90,785.68,480.32,675.22,405.89,621.12,0.01,0.01,0.01,0.01,0.01,0.1891,0.2363,0.2037,0.2405,0.2739,Na  
31487,58,26/02/13,15:34:25,-39.421,-71.941,2830.00,550.00,65.40,2.25,0.990,10.90,808.20,466.07,637.05,376.74,577.64,0.00,0.00,0.00,0.01,0.01,0.1766,0.2496,0.2295,0.2736,0.3061,Na  
31487,59,26/02/13,15:34:39,-39.421,-71.941,2830.00,550.00,65.41,2.25,0.990,10.90,725.45,412.57,584.59,343.61,528.00,0.02,0.02,0.01,0.01,0.01,0.2244,0.3037,0.2676,0.3143,0.3459,Na  
31487,60,26/02/13,15:34:54,-39.421,-71.941,2830.00,550.00,65.42,2.26,0.990,10.90,700.64,381.30,540.47,313.37,481.01,0.01,0.01,0.01,0.01,0.01,0.2398,0.3385,0.3023,0.3551,0.3872,Na  
31487,61,26/02/13,15:35:10,-39.421,-71.941,2830.00,550.00,65.43,2.26,0.990,10.90,646.37,340.37,492.49,282.90,434.76,0.01,0.01,0.01,0.01,0.01,0.2754,0.3888,0.3435,0.4004,0.4319,Na  
31487,62,26/02/13,15:35:25,-39.421,-71.941,2830.00,550.00,65.44,2.26,0.990,10.90,568.50,295.74,447.08,254.87,391.40,0.01,0.01,0.01,0.01,0.01,0.3323,0.4510,0.3863,0.4466,0.4784,Na  
31487,63,26/02/13,15:35:40,-39.421,-71.941,2830.00,550.00,65.45,2.26,0.990,10.90,503.49,248.04,387.86,217.03,331.39,0.01,0.01,0.01,0.01,0.01,0.3860,0.5289,0.4492,0.5178,0.5521,Na  
31487,64,26/02/13,15:35:54,-39.421,-71.941,2830.00,550.00,65.45,2.26,0.990,10.90,464.97,218.71,348.46,192.79,291.94,0.02,0.02,0.01,0.01,0.01,0.4212,0.5846,0.4966,0.5702,0.6082,Na  
31487,65,26/02/13,15:36:10,-39.421,-71.941,2830.00,550.00,65.46,2.26,0.990,10.90,406.94,184.79,306.00,167.02,251.28,0.01,0.01,0.01,0.01,0.01,0.4801,0.6591,0.5541,0.6337,0.6746,Na  
31487,66,26/02/13,15:36:24,-39.421,-71.941,2830.00,550.00,65.47,2.26,0.990,10.90,359.05,156.26,267.48,143.65,213.89,0.01,0.01,0.01,0.01,0.01,0.5355,0.7333,0.6137,0.7004,0.7459,Na  
31487,67,26/02/13,15:36:39,-39.421,-71.941,2830.00,550.00,65.48,2.26,0.990,10.90,721.39,483.17,651.08,420.81,621.14,0.23,0.25,0.21,0.22,0.27,0.2263,0.2332,0.2195,0.2242,0.2735,Na  
31487,68,26/02/13,15:36:53,-39.421,-71.941,2830.00,550.00,65.49,2.26,0.990,10.90,434.90,265.26,402.75,245.69,368.77,0.01,0.01,0.01,0.01,0.01,0.4504,0.4987,0.4322,0.4625,0.5044,Na  
31487,69,26/02/13,15:37:10,-39.421,-71.941,2830.00,550.00,65.50,2.26,0.990,10.90,384.43,227.44,358.49,215.40,321.75,0.01,0.01,0.01,0.01,0.01,0.5049,0.5667,0.4837,0.5207,0.5647,Na  
31487,70,26/02/13,15:37:25,-39.421,-71.941,2830.00,550.00,65.51,2.26,0.990,10.90,339.22,193.20,317.82,187.78,278.45,0.01,0.01,0.01,0.01,0.01,0.5602,0.6388,0.5369,0.5813,0.6286,Na  
31487,71,26/02/13,15:37:39,-39.421,-71.941,2830.00,550.00,65.52,2.26,0.990,10.90,286.32,155.89,272.81,158.26,231.90,0.01,0.02,0.01,0.01,0.01,0.6351,0.7337,0.6044,0.6570,0.7095,Na  
31487,72,26/02/13,15:37:54,-39.421,-71.941,2830.00,550.00,65.53,2.26,0.990,10.90,247.47,129.02,235.46,134.01,193.65,0.02,0.02,0.01,0.01,0.02,0.6995,0.8173,0.6695,0.7305,0.7892,Na  
31487,73,26/02/13,15:38:10,-39.421,-71.941,2830.00,550.00,65.54,2.26,0.990,10.90,386.57,209.88,328.12,187.96,282.08,0.43,0.50,0.39,0.39,0.41,0.5020,0.6018,0.5225,0.5806,0.6226,Na  
31487,74,26/02/13,15:38:25,-39.421,-71.941,2830.00,550.00,65.55,2.26,0.990,11.00,696.88,551.19,641.08,473.43,712.00,0.01,0.00,0.00,0.00,0.00,0.2411,0.1745,0.2261,0.1718,0.2128,Na  
31487,75,26/02/13,15:38:39,-39.421,-71.941,2830.00,550.00,65.56,2.26,0.990,11.00,694.01,545.24,638.95,469.45,706.44,0.00,0.00,0.00,0.00,0.00,0.2429,0.1792,0.2275,0.1755,0.2162,Na  
31487,76,26/02/13,15:38:54,-39.421,-71.941,2830.00,550.00,65.57,2.26,0.990,11.00,676.39,528.00,626.32,457.43,688.23,0.01,0.00,0.00,0.00,0.00,0.2542,0.1934,0.2363,0.1870,0.2278,Na  
31487,77,26/02/13,15:39:10,-39.421,-71.941,2830.00,550.00,65.58,2.26,0.990,11.00,644.15,507.54,616.50,449.60,675.86,0.01,0.00,0.00,0.00,0.00,0.2757,0.2108,0.2433,0.1946,0.2357,Na  
31487,78,26/02/13,15:39:25,-39.421,-71.941,2830.00,550.00,65.59,2.26,0.990,11.00,661.21,507.34,605.90,437.70,656.51,0.00,0.00,0.00,0.00,0.00,0.2640,0.2109,0.2509,0.2064,0.2486,Na  
31487,79,26/02/13,15:39:40,-39.421,-71.941,2830.00,550.00,65.60,2.26,0.990,11.00,629.62,484.18,589.19,423.53,635.02,0.01,0.00,0.00,0.00,0.00,0.2856,0.2315,0.2632,0.2209,0.2632,Na  
31487,80,26/02/13,15:39:54,-39.421,-71.941,2830.00,550.00,65.61,2.26,0.990,11.00,869.12,671.63,781.50,562.64,845.11,0.00,0.00,0.00,0.00,0.00,0.1430,0.0868,0.1383,0.0953,0.1368,Na  
31487,81,26/02/13,15:40:10,-39.421,-71.941,2830.00,550.00,65.62,2.26,0.990,11.00,855.28,662.53,782.84,562.41,845.96,0.00,0.00,0.00,0.00,0.00,0.1500,0.0928,0.1375,0.0955,0.1364,Na  
31487,82,26/02/13,15:40:24,-39.421,-71.941,2830.00,550.00,65.63,2.26,0.990,11.00,844.10,652.43,784.21,559.13,842.56,0.00,0.00,0.00,0.00,0.00,0.1558,0.0996,0.1367,0.0980,0.1381,Na  
