REC#0090
FIELDS:
SN,DATE,TIME,LATITUDE,LONGITUDE,ALTITUDE,PRESSURE,SZA,AM,SDCORR,TEMP,ID,SIG380,SIG440,SIG675,SIG870,SIG1020,STD380,STD440,STD675,STD870,STD1020,R380_440,R440_675,R675_870,R870_1020,AOT380,AOT440,AOT675,AOT870,AOT1020,WATER
31487,02/21/2013,17:12:16,-77.526, 167.156, 4605,  980,85.72,11.685,0.979, 21.7,99,  53.44,   4.04,  25.34,  -5.90,   0.72, 0.327, 1.059, 0.367,NaN   ,10.519,NaN   ,NaN   ,NaN   ,NaN   ,-0.115,0.247,0.285,NaN  ,0.625,Na  
31487,02/21/2013,17:12:31,-77.526, 167.156, 4605,  980,85.71,11.660,0.979, 21.8,99,  57.37,  -7.21,  13.61, -28.11, -29.50, 0.022,NaN   , 0.142,NaN   ,NaN   ,NaN   ,-0.5517,NaN   ,NaN   ,-0.121,NaN  ,0.339,NaN  ,NaN  ,Na  
31487,02/21/2013,17:12:45,-77.526, 167.156, 4605,  980,85.70,11.636,0.979, 22.0,99,  60.46,   8.94,  37.49,   7.18,  25.01, 0.222, 0.457, 0.103, 0.698, 0.136,14.5371,0.2333,NaN   ,0.2718,-0.124,0.181,0.253,0.381,0.323,Na  
31487,02/21/2013,17:13:01,-77.526, 167.156, 4605,  980,85.69,11.610,0.979, 22.1,99,  63.87,   9.23,  37.32,   2.25,  17.18, 0.015, 0.062, 0.022, 0.253, 0.053,6.9457,0.2474,17.7146,0.1311,-0.129,0.179,0.254,0.482,0.356,Na  
31487,02/21/2013,17:13:15,-77.526, 167.156, 4605,  980,85.68,11.587,0.979, 22.1,99,  61.47,   5.66,  31.67,  -5.10,   6.60, 0.010, 0.093, 0.016,NaN   , 0.136,10.9472,0.1785,NaN   ,-0.7929,-0.125,0.222,0.268,NaN  ,0.440,Na  
31487,02/21/2013,17:13:30,-77.526, 167.156, 4605,  980,85.67,11.562,0.979, 22.2,99,  57.21,   0.29,  22.83, -14.98,  -9.45, 0.023, 1.859, 0.069,NaN   ,NaN   ,NaN   ,0.0123,NaN   ,NaN   ,-0.118,0.480,0.297,NaN  ,NaN  ,Na  
31487,02/21/2013,17:13:45,-77.526, 167.156, 4605,  980,85.65,11.537,0.979, 22.2,99,  51.25,  -8.43,  10.04, -27.93, -30.81, 0.013,NaN   , 0.118,NaN   ,NaN   ,NaN   ,-0.8578,NaN   ,NaN   ,-0.108,NaN  ,0.369,NaN  ,NaN  ,Na  
31487,02/21/2013,17:13:59,-77.526, 167.156, 4605,  980,85.64,11.514,0.979, 22.3,99,  42.38,   6.89,  20.16,   3.40,  17.20, 0.589, 0.724, 1.279, 2.506, 0.599,NaN   ,NaN   ,NaN   ,-0.0513,-0.090,0.208,0.310,0.450,0.359,Na  
31487,02/21/2013,17:14:16,-77.526, 167.156, 4605,  980,85.63,11.487,0.979, 22.3,99,  59.75,   2.64,  26.37, -11.44,  -2.78, 0.022, 0.243, 0.041,NaN   ,NaN   ,23.8934,0.1003,NaN   ,NaN   ,-0.119,0.292,0.287,NaN  ,NaN  ,Na  
31487,02/21/2013,17:14:30,-77.526, 167.156, 4605,  980,85.62,11.464,0.979, 22.3,99,  55.59,   8.52,  30.85,   4.98,  17.17, 0.154, 0.575, 0.273, 1.986, 0.999,NaN   ,0.3121,NaN   ,NaN   ,-0.113,0.191,0.274,0.419,0.361,Na  
31487,02/21/2013,17:14:45,-77.526, 167.156, 4605,  980,85.61,11.439,0.979, 22.4,99,  37.33, -10.22,   3.03, -19.14, -15.44, 1.421,NaN   , 8.679,NaN   ,NaN   ,NaN   ,NaN   ,NaN   ,NaN   ,-0.077,NaN  ,0.477,NaN  ,NaN  ,Na  
